time, sw_id, port_id, q_id, q_len, port_len
700000, 17, 4, 6, 0, 60
700000, 17, 4, 7, 0, 60
700000, 17, 6, 0, 0, 60
700000, 17, 6, 1, 0, 60
700000, 17, 6, 2, 0, 60
700000, 17, 6, 3, 60, 60
700000, 17, 6, 4, 0, 60
700000, 17, 6, 5, 0, 60
700000, 17, 6, 6, 0, 60
700000, 17, 6, 7, 0, 60
700000, 19, 1, 0, 0, 0
700000, 19, 1, 1, 0, 0
700000, 19, 1, 2, 0, 0
700000, 19, 1, 3, 0, 0
700000, 19, 1, 4, 0, 0
700000, 19, 1, 5, 0, 0
700000, 19, 1, 6, 0, 0
700000, 19, 1, 7, 0, 0
700000, 19, 2, 0, 0, 0
700000, 19, 2, 1, 0, 0
700000, 19, 2, 2, 0, 0
700000, 19, 2, 3, 0, 0
700000, 19, 2, 4, 0, 0
700000, 19, 2, 5, 0, 0
700000, 19, 2, 6, 0, 0
700000, 19, 2, 7, 0, 0
700000, 20, 1, 0, 0, 0
700000, 20, 1, 1, 0, 0
700000, 20, 1, 2, 0, 0
700000, 20, 1, 3, 0, 0
700000, 20, 1, 4, 0, 0
700000, 20, 1, 5, 0, 0
700000, 20, 1, 6, 0, 0
700000, 20, 1, 7, 0, 0
700000, 20, 2, 0, 0, 0
700000, 20, 2, 1, 0, 0
700000, 20, 2, 2, 0, 0
700000, 20, 2, 3, 0, 0
700000, 20, 2, 4, 0, 0
700000, 20, 2, 5, 0, 0
700000, 20, 2, 6, 0, 0
700000, 20, 2, 7, 0, 0
700000, 24, 2, 0, 0, 60
700000, 24, 2, 1, 0, 60
700000, 24, 2, 2, 0, 60
700000, 24, 2, 3, 60, 60
700000, 24, 2, 4, 0, 60
700000, 24, 2, 5, 0, 60
700000, 24, 2, 6, 0, 60
700000, 24, 2, 7, 0, 60
700000, 25, 1, 0, 0, 0
700000, 25, 1, 1, 0, 0
700000, 25, 1, 2, 0, 0
700000, 25, 1, 3, 0, 0
700000, 25, 1, 4, 0, 0
700000, 25, 1, 5, 0, 0
700000, 25, 1, 6, 0, 0
700000, 25, 1, 7, 0, 0
800000, 16, 3, 0, 0, 0
800000, 16, 3, 1, 0, 0
800000, 16, 3, 2, 0, 0
800000, 16, 3, 3, 0, 0
800000, 16, 3, 4, 0, 0
800000, 16, 3, 5, 0, 0
800000, 16, 3, 6, 0, 0
800000, 16, 3, 7, 0, 0
800000, 16, 4, 0, 0, 0
800000, 16, 4, 1, 0, 0
800000, 16, 4, 2, 0, 0
800000, 16, 4, 3, 0, 0
800000, 16, 4, 4, 0, 0
800000, 16, 4, 5, 0, 0
800000, 16, 4, 6, 0, 0
800000, 16, 4, 7, 0, 0
800000, 16, 7, 0, 0, 0
800000, 16, 7, 1, 0, 0
800000, 16, 7, 2, 0, 0
800000, 16, 7, 3, 0, 0
800000, 16, 7, 4, 0, 0
800000, 16, 7, 5, 0, 0
800000, 16, 7, 6, 0, 0
800000, 16, 7, 7, 0, 0
800000, 17, 1, 0, 0, 0
800000, 17, 1, 1, 0, 0
800000, 17, 1, 2, 0, 0
800000, 17, 1, 3, 0, 0
800000, 17, 1, 4, 0, 0
800000, 17, 1, 5, 0, 0
800000, 17, 1, 6, 0, 0
800000, 17, 1, 7, 0, 0
800000, 17, 4, 0, 0, 0
800000, 17, 4, 1, 0, 0
800000, 17, 4, 2, 0, 0
800000, 17, 4, 3, 0, 0
800000, 17, 4, 4, 0, 0
800000, 17, 4, 5, 0, 0
800000, 17, 4, 6, 0, 0
800000, 17, 4, 7, 0, 0
800000, 17, 6, 0, 0, 0
800000, 17, 6, 1, 0, 0
800000, 17, 6, 2, 0, 0
800000, 17, 6, 3, 0, 0
800000, 17, 6, 4, 0, 0
800000, 17, 6, 5, 0, 0
800000, 17, 6, 6, 0, 0
800000, 17, 6, 7, 0, 0
800000, 24, 2, 0, 0, 0
800000, 24, 2, 1, 0, 0
800000, 24, 2, 2, 0, 0
800000, 24, 2, 3, 0, 0
800000, 24, 2, 4, 0, 0
800000, 24, 2, 5, 0, 0
800000, 24, 2, 6, 0, 0
800000, 24, 2, 7, 0, 0
1300000, 16, 3, 0, 0, 60
1300000, 16, 3, 1, 0, 60
1300000, 16, 3, 2, 0, 60
1300000, 16, 3, 3, 60, 60
1300000, 16, 3, 4, 0, 60
1300000, 16, 3, 5, 0, 60
1300000, 16, 3, 6, 0, 60
1300000, 16, 3, 7, 0, 60
1300000, 16, 5, 0, 0, 7080
1300000, 16, 5, 1, 0, 7080
1300000, 16, 5, 2, 0, 7080
1300000, 16, 5, 3, 7080, 7080
1300000, 16, 5, 4, 0, 7080
1300000, 16, 5, 5, 0, 7080
1300000, 16, 5, 6, 0, 7080
1300000, 16, 5, 7, 0, 7080
1300000, 16, 8, 0, 0, 60
1300000, 16, 8, 1, 0, 60
1300000, 16, 8, 2, 0, 60
1300000, 16, 8, 3, 60, 60
1300000, 16, 8, 4, 0, 60
1300000, 16, 8, 5, 0, 60
1300000, 16, 8, 6, 0, 60
1300000, 16, 8, 7, 0, 60
1300000, 17, 3, 0, 0, 60
1300000, 17, 3, 1, 0, 60
1300000, 17, 3, 2, 0, 60
1300000, 17, 3, 3, 60, 60
1300000, 17, 3, 4, 0, 60
1300000, 17, 3, 5, 0, 60
1300000, 17, 3, 6, 0, 60
1300000, 17, 3, 7, 0, 60
1300000, 17, 4, 0, 0, 60
1300000, 17, 4, 1, 0, 60
1300000, 17, 4, 2, 0, 60
1300000, 17, 4, 3, 60, 60
1300000, 17, 4, 4, 0, 60
1300000, 17, 4, 5, 0, 60
1300000, 17, 4, 6, 0, 60
1300000, 17, 4, 7, 0, 60
1300000, 18, 1, 0, 0, 60
1300000, 18, 1, 1, 0, 60
1300000, 18, 1, 2, 0, 60
1300000, 18, 1, 3, 60, 60
1300000, 18, 1, 4, 0, 60
1300000, 18, 1, 5, 0, 60
1300000, 18, 1, 6, 0, 60
1300000, 18, 1, 7, 0, 60
1300000, 18, 2, 0, 0, 60
1300000, 18, 2, 1, 0, 60
1300000, 18, 2, 2, 0, 60
1300000, 18, 2, 3, 60, 60
1300000, 18, 2, 4, 0, 60
1300000, 18, 2, 5, 0, 60
1300000, 18, 2, 6, 0, 60
1300000, 18, 2, 7, 0, 60
1300000, 21, 1, 0, 0, 60
1300000, 21, 1, 1, 0, 60
1300000, 21, 1, 2, 0, 60
1300000, 21, 1, 3, 60, 60
1300000, 21, 1, 4, 0, 60
1300000, 21, 1, 5, 0, 60
1300000, 21, 1, 6, 0, 60
1300000, 21, 1, 7, 0, 60
1300000, 22, 2, 0, 0, 60
1300000, 22, 2, 1, 0, 60
1300000, 22, 2, 2, 0, 60
1300000, 22, 2, 3, 60, 60
1300000, 22, 2, 4, 0, 60
1300000, 22, 2, 5, 0, 60
1300000, 22, 2, 6, 0, 60
1300000, 22, 2, 7, 0, 60
1300000, 23, 2, 0, 0, 60
1300000, 23, 2, 1, 0, 60
1300000, 23, 2, 2, 0, 60
1300000, 23, 2, 3, 60, 60
1300000, 23, 2, 4, 0, 60
1300000, 23, 2, 5, 0, 60
1300000, 23, 2, 6, 0, 60
1300000, 23, 2, 7, 0, 60
1300000, 24, 2, 0, 0, 60
1300000, 24, 2, 1, 0, 60
1300000, 24, 2, 2, 0, 60
1300000, 24, 2, 3, 60, 60
1300000, 24, 2, 4, 0, 60
1300000, 24, 2, 5, 0, 60
1300000, 24, 2, 6, 0, 60
1300000, 24, 2, 7, 0, 60
1300000, 25, 2, 0, 0, 60
1300000, 25, 2, 1, 0, 60
1300000, 25, 2, 2, 0, 60
1300000, 25, 2, 3, 60, 60
1300000, 25, 2, 4, 0, 60
1300000, 25, 2, 5, 0, 60
1300000, 25, 2, 6, 0, 60
1300000, 25, 2, 7, 0, 60
1300000, 49, 7, 0, 0, 2340
1300000, 49, 7, 1, 0, 2340
1300000, 49, 7, 2, 0, 2340
1300000, 49, 7, 3, 2340, 2340
1300000, 49, 7, 4, 0, 2340
1300000, 49, 7, 5, 0, 2340
1300000, 49, 7, 6, 0, 2340
1300000, 49, 7, 7, 0, 2340
1400000, 16, 2, 0, 0, 60
1400000, 16, 2, 1, 0, 60
1400000, 16, 2, 2, 0, 60
1400000, 16, 2, 3, 60, 60
1400000, 16, 2, 4, 0, 60
1400000, 16, 2, 5, 0, 60
1400000, 16, 2, 6, 0, 60
1400000, 16, 2, 7, 0, 60
1400000, 16, 5, 0, 0, 0
1400000, 16, 5, 1, 0, 0
1400000, 16, 5, 2, 0, 0
1400000, 16, 5, 3, 0, 0
1400000, 16, 5, 4, 0, 0
1400000, 16, 5, 5, 0, 0
1400000, 16, 5, 6, 0, 0
1400000, 16, 5, 7, 0, 0
1400000, 16, 7, 0, 0, 60
1400000, 16, 7, 1, 0, 60
1400000, 16, 7, 2, 0, 60
1400000, 16, 7, 3, 60, 60
1400000, 16, 7, 4, 0, 60
1400000, 16, 7, 5, 0, 60
1400000, 16, 7, 6, 0, 60
1400000, 16, 7, 7, 0, 60
1400000, 16, 8, 0, 0, 0
1400000, 16, 8, 1, 0, 0
1400000, 16, 8, 2, 0, 0
1400000, 16, 8, 3, 0, 0
1400000, 16, 8, 4, 0, 0
1400000, 16, 8, 5, 0, 0
1400000, 16, 8, 6, 0, 0
1400000, 16, 8, 7, 0, 0
1400000, 17, 3, 0, 0, 0
1400000, 17, 3, 1, 0, 0
1400000, 17, 3, 2, 0, 0
1400000, 17, 3, 3, 0, 0
1400000, 17, 3, 4, 0, 0
1400000, 17, 3, 5, 0, 0
1400000, 17, 3, 6, 0, 0
1400000, 17, 3, 7, 0, 0
1400000, 17, 5, 0, 0, 60
