time, src, dst, sport, dport, size, curr_rate
700000, 5, 6, 10190, 100, 131072, 2880000000000
700000, 5, 14, 10026, 100, 131072, 400000000000
700000, 6, 7, 10188, 100, 131072, 2880000000000
700000, 6, 15, 10028, 100, 131072, 400000000000
700000, 6, 15, 10027, 100, 131072, 400000000000
700000, 6, 15, 10026, 100, 131072, 400000000000
700000, 7, 0, 10189, 100, 131072, 2880000000000
700000, 7, 0, 10188, 100, 131072, 2880000000000
700000, 7, 8, 10026, 100, 131072, 400000000000
700000, 8, 1, 10028, 100, 131072, 400000000000
700000, 8, 1, 10027, 100, 131072, 400000000000
700000, 8, 1, 10026, 100, 131072, 400000000000
700000, 9, 2, 10026, 100, 131072, 400000000000
700000, 10, 11, 10194, 100, 131072, 2880000000000
700000, 10, 3, 10027, 100, 131072, 400000000000
700000, 11, 12, 10197, 100, 131072, 2880000000000
700000, 11, 12, 10196, 100, 131072, 2880000000000
700000, 11, 4, 10027, 100, 131072, 400000000000
700000, 11, 4, 10026, 100, 131072, 400000000000
700000, 11, 4, 10025, 100, 131072, 400000000000
700000, 11, 12, 10198, 100, 131072, 2880000000000
700000, 11, 4, 10024, 100, 131072, 400000000000
700000, 12, 13, 10195, 100, 131072, 2880000000000
700000, 12, 13, 10194, 100, 131072, 2880000000000
700000, 12, 13, 10193, 100, 131072, 2880000000000
700000, 12, 13, 10192, 100, 131072, 2880000000000
700000, 12, 13, 10191, 100, 131072, 2880000000000
700000, 12, 5, 10027, 100, 131072, 400000000000
700000, 12, 5, 10026, 100, 131072, 400000000000
700000, 13, 14, 10191, 100, 131072, 2880000000000
700000, 13, 14, 10190, 100, 131072, 2880000000000
700000, 13, 6, 10028, 100, 131072, 400000000000
700000, 13, 6, 10027, 100, 131072, 400000000000
700000, 13, 6, 10026, 100, 131072, 400000000000
700000, 14, 15, 10187, 100, 131072, 2880000000000
700000, 14, 7, 10027, 100, 131072, 400000000000
700000, 15, 8, 10188, 100, 131072, 2880000000000
700000, 15, 8, 10187, 100, 131072, 2880000000000
700000, 15, 0, 10026, 100, 131072, 400000000000
1300000, 0, 9, 10031, 100, 524288, 400000000000
1300000, 1, 2, 10223, 100, 524288, 2880000000000
1300000, 1, 2, 10222, 100, 524288, 2880000000000
1300000, 1, 2, 10219, 100, 524288, 2880000000000
1300000, 1, 2, 10218, 100, 524288, 2880000000000
1300000, 1, 2, 10221, 100, 524288, 2880000000000
1300000, 1, 10, 10031, 100, 524288, 400000000000
1300000, 1, 2, 10217, 100, 524288, 2880000000000
1300000, 1, 2, 10220, 100, 524288, 2880000000000
1300000, 2, 3, 10223, 100, 524288, 2880000000000
1300000, 2, 3, 10222, 100, 524288, 2880000000000
1300000, 2, 3, 10219, 100, 524288, 2880000000000
1300000, 2, 3, 10221, 100, 524288, 2880000000000
1300000, 2, 11, 10031, 100, 524288, 400000000000
1300000, 2, 3, 10218, 100, 524288, 2880000000000
