time, node_id, port_id, bandwidth
600000, 62, 3, 0.072000
600000, 62, 7, 0.072000
600000, 63, 3, 0.062400
600000, 63, 5, 0.072000
600000, 63, 7, 0.033600
600000, 64, 2, 10.548160
600000, 64, 4, 10.548160
600000, 64, 5, 21.168320
600000, 65, 7, 21.096320
600000, 65, 8, 10.548160
600000, 66, 1, 0.072000
600000, 66, 2, 10.548160
600000, 66, 3, 0.072000
600000, 66, 4, 0.072000
600000, 66, 5, 0.038400
600000, 66, 6, 10.548160
600000, 66, 7, 10.548160
600000, 67, 4, 0.072000
600000, 67, 5, 10.548160
600000, 67, 6, 10.576960
600000, 67, 7, 10.548160
600000, 68, 5, 0.072000
600000, 69, 1, 0.072000
600000, 69, 5, 0.072000
600000, 69, 6, 10.548160
600000, 70, 1, 0.028800
600000, 70, 2, 0.072000
600000, 70, 4, 10.548160
600000, 70, 6, 10.620160
600000, 70, 8, 0.072000
600000, 71, 4, 10.548160
600000, 71, 6, 10.620160
600000, 71, 8, 0.072000
600000, 72, 3, 0.072000
600000, 72, 4, 10.548160
600000, 72, 6, 0.144000
600000, 73, 1, 0.072000
600000, 73, 2, 10.620160
600000, 73, 4, 10.548160
600000, 73, 8, 10.620160
600000, 74, 2, 0.072000
600000, 74, 6, 0.144000
600000, 74, 7, 0.072000
600000, 74, 8, 0.072000
600000, 75, 1, 10.620160
600000, 75, 2, 0.072000
600000, 75, 4, 0.072000
600000, 75, 5, 0.072000
600000, 75, 6, 10.548160
600000, 76, 6, 10.548160
600000, 76, 7, 10.548160
600000, 77, 1, 0.072000
600000, 77, 2, 0.072000
600000, 77, 4, 10.620160
600000, 77, 7, 0.028800
600000, 77, 8, 10.620160
600000, 78, 2, 0.072000
600000, 78, 4, 31.644480
600000, 80, 2, 0.019200
600000, 80, 5, 0.072000
600000, 81, 3, 0.072000
600000, 81, 4, 0.033600
600000, 81, 5, 10.548160
600000, 81, 6, 0.033600
600000, 81, 8, 10.548160
600000, 82, 2, 10.548160
600000, 82, 4, 0.144000
600000, 83, 2, 21.096320
600000, 83, 6, 0.072000
600000, 84, 4, 0.072000
600000, 84, 8, 10.548160
